"id","eixo","data_avaliacao","tipo_entidade","entidade","componente","item","estagio","pontuacao","comentario"
"1903","Financiamento","2025-09-01","Estado","Bahia","F1","A","Estágio intermediário","0.666","O PPA vigente (2024 - 2027) prevê a execução do Programa Meio Ambiente e Mudança do Clima, que, dentre outros, objetiva a implementação de ações de adaptação e mitigação das mudanças climáticas. Dentre as iniciativas previstas estão: implementar a Política Estadual de Mudança do Clima; realizar ações de prevenção e combate a incêndios florestais e implementar o Programa Estadual de Pagamento por Serviços Ambientais. Ademais, existem ações em outros programas que possuem relação ao tema mudanças climáticas, tais como elaborar estudos, planos e projetos na área de drenagem e manejo das águas pluviais urbanas e realizar intervenções na área de resíduos sólidos (Programa Universalização do Saneamento Básico), promover ações de prevenção e resposta aos desastres (Programa Bahia Mais Segura) e promover ações de mitigação dos efeitos das mudanças climáticas na produção agrícola (Programa Cultive Conhecimento). Verificou-se a alocação de recursos em ações integrantes do Programa Meio Ambiente e Mudança do Clima e outras ações orçamentárias que possuem ligação ao tema, ressaltando-se que em algumas delas não houve execução financeira (2024 e 2025), tal como a Ação 4093 (Promoção do Fórum Estadual de Mudança Climática). Não foi possível verificar se as ações previstas no PPA estão alinhadas com metas/objetivos da Política Estadual de Mudan"
"1890","Financiamento","2025-09-01","Estado","Bahia","F1","B","Estágio inicial","0.333","Na LOA 2025, há ações de mitigação dos efeitos das mudanças climáticas: Implementar o plano Agricultura de Baixo Carbono ABC+Bahia (SDR); Fortalecer processos formativos em Meio Ambiente, Recursos Hídricos e Mudanças Climáticas (SEMA); Potencializar a educação ambiental de forma transversal e continuada- Realização de Ação de Educação Ambiental do Meio Ambiente, Recursos Hídricos e Mudanças Climáticas (SEMA); Realizar ações de prevenção e combate a incêndios florestais(SEMA). A classificação destas despesas seguem a metodologia adotada para todos os outros Programas setoriais, não existindo códigos ou rubricas específicas que diferenciem os gastos diretos ou indiretos relacionados com a Ação Climática."
"1892","Financiamento","2025-09-01","Estado","Bahia","F1","C","Estágio inicial","0.333","A Auditoria identificou normativos que estabelecem critérios de sustentabilidade nas contratações públicas estaduais, não havendo, especificamente, critérios relacionados à redução de GEE e adaptação à mudança do clima. O Estado sancionou sua nova Lei de Licitações e Contratos (Lei 14.634/2023), alinhando-se a Lei Federal 14.133/2021, estabelecendo o desenvolvimento sustentável como um dos seus princípios. Identificou-se o Decreto Estadual nº 14.692/2013, que instituiu o Programa Est. de Compras Públicas sustentáveis e o Decreto nº 22.598/2024, que trata da elaboração dos ETP's para aquisição de bens e contratação de serviços pelos órgãos e entidades da Adm. Pública direta, autárquica e fundacional do Executivo baiano, determinando, em seu Art. 6º, que dentre os elementos obrigatórios no ETP deverá estar presente ""descrição de possíveis impactos ambientais e respectivas medidas mitigadoras, incluídos requisitos de baixo consumo de energia e de outros recursos, bem como logística reversa para desfazimento e reciclagem de bens e refugos, quando aplicável"". Verificou-se, ainda, a Instrução Normativa SAEB nº 015/2014, que orienta sobre sustentabilidade ambiental na aquisição de bens e contratações de serviços de Tecnologia da Informação e Comunicação e a Instrução Normativa SAEB 003/2024, que orienta os órgãos e entidades do Executivo Estadual quanto à elaboração dos ETPs, prevendo, em anexo único, , modelo padronizado que expressamente exige a avaliação de impactos ambientais."
"1894","Financiamento","2025-09-01","Estado","Bahia","F1","D","Estágio inicial","0.333","Não existe, nos sites dos órgãos ambientais estaduais, uma transparência específica acerca das ações e gastos dentro da Política Estadual de Mudança do Clima (ou outras políticas estaduais ambientais). O que existe, no âmbito estadual, é o Portal da Transparência do Estado da Bahia (www.transparencia.ba.gov.br ), que oferece à sociedade uma consulta detalhada das despesas executadas pelo Poder Público, por ação orçamentária, inclusive aquelas vinculadas diretamente à política climática, a exemplo da Ação 3070 - Elaboração de Estudo de Mudança do Clima. Tal ferramenta digital oficial possibilita a pesquisa dos gastos ocorridos em programas estaduais, o que inclui as políticas públicas ambientais."
"1921","Financiamento","2025-09-01","Estado","Bahia","F2","A","Estágio inicial","0.333","A Auditoria identificou programas e iniciativas da União destinados a mitigação e adaptação às mudanças climáticas. Dentre os principais, destacam-se a Política Nacional sobre Mudança do Clima, o Plano Clima, o Fundo Clima, o Plano de Ação Brasileiro de Combate à Desertificação e Mitigação dos Efeitos da Seca; e programas como Cidades Modelo Verdes Resilientes e  AdaptaCidades. Ademais, verificou-se a existência de três Programas na área de recursos hídricos, financiados pela ANA. Conforme informado pela SEMA: ""Atualmente, o Estado da Bahia não dispõe de processo formalizado para mapeamento específico de oportunidades de obtenção de recursos financeiros vinculados à adesão aos instrumentos da Política Nacional de Mudança do Clima (PNMC), previstos no artigo 7º da Lei Federal nº 12.187/2009, ou a planos estaduais correlatos"". Verificou-se que a Bahia aderiu ao Programa AdaptaCidades e ao Plano ABC+ do Ministério da Agricultura e Pecuária (plano setorial para adaptação às mudanças climáticas e redução de emissões de carbono na agropecuária, visando o desenvolvimento sustentável). Ademais, Auditoria realizada em 2021 pelo TCE/BA verificou que o Estado aderiu a Programas Federais financiados pela ANA, na área de gestão de recursos hídricos (Programas QUALIÁGUA, PROGESTÃO e PROCOMITÊS). Adicionalmente, destaca-se a recente coordenação, pela SEMA, do Projeto Raízes Resilientes, em cooperação com o Banco Nacional de Desenvolvimento Econômico e Social."
"6724","Financiamento","2025-09-01","Estado","Bahia","F2","B","Sem progresso","0","O Estado da Bahia não dispõe de mapeamento de oportunidades de financiamento para as ações climáticas, com identificação de linhas para projetos prioritários, com um planejamento estratégico para acesso a fontes externas. Segundo informado pela SEMA: ""As articulações para obtenção de financiamentos destinados às ações climáticas são realizadas conforme a disponibilidade e as oportunidades apresentadas pelos editais e chamadas públicas. Como exemplo, destaca-se o Projeto Sertão Vivo, sob a administração da Companhia de Desenvolvimento e Ação Regional - CAR, lançado em julho de 2025, fruto de cooperação entre o Governo da Bahia, o Banco Nacional de Desenvolvimento Econômico e Social (BNDES), o Fundo Internacional de Desenvolvimento Agrícola (FIDA) e o Fundo Verde Clima."
"6803","Financiamento","2025-09-01","Estado","Bahia","F2","C","Sem progresso","0","A SEMA, conforme transcrito a seguir, informou acerca da inexistência de mecanismos de monitoramento de captação de recursos: Atualmente, a Secretaria do Meio Ambiente não dispõe de mecanismo formal e sistematizado de monitoramento contínuo ou periódico específico para as ações de captação de recursos voltadas à política climática. No entanto, a Pasta reconhece a relevância desse instrumento para o fortalecimento da gestão ambiental e vem envidando esforços para estruturar procedimentos internos que possibilitem maior rastreabilidade e avaliação das iniciativas desenvolvidas. Diante disso, como parte do processo de aprimoramento da gestão, estão sendo avaliadas alternativas viáveis para organizar e reunir, de forma mais sistemática, as informações sobre projetos, parcerias e cooperações técnicas, de modo a facilitar o acompanhamento dessas iniciativas e subsidiar, de maneira mais eficiente, a tomada de decisões relacionadas às ações climáticas no Estado""."
"6641","Financiamento","2025-09-01","Estado","Bahia","F3","A","Estágio intermediário","0.666","Não foi apresentado mapeamento de possíveis oportunidades para incentivar empresas/cidadãos a investirem em ações para mitigação/adaptação das mudanças climáticas. Apesar disto, verificou-se que normativos foram publicados objetivando incentivar o uso de recursos privados em ações para produção/uso de energias renováveis. A Política Estadual de Incentivo à Geração e Aproveitamento de Energia Solar (Lei 13.914/2018) promove a racionalização do consumo energético e o uso de energia solar fotovoltaica, e tem, dentre seus objetivos, conceder incentivos fiscais/tributários às empresas que fabricam equipamentos geradores de energia alternativa. O Plano Estadual para a Economia do Hidrogênio Verde (Decreto 21.200/2022) busca fortalecer a cadeia produtiva do hidrogênio verde e fomentar sua aplicação em setores industriais, de mobilidade e transporte. A Lei 14.638/2023 isentou de IPVA automóveis elétricos. A Lei Estadual 14.889/2025 instituiu o Programa Estadual de Transição Energética, que tem, entre seus objetivos, a diversificação das fontes de produção e abastecimento de energia. Ademais, verificou-se, em auditoria realizada em 2023 por este TCE (gestão florestal de Unidades de Conservação), a concessão, pelo INEMA, de diversas licenças ambientais autorizando empresas privadas a instalarem na Bahia Usinas Produtoras de energia eólica, fonte energética renovável (a Bahia é o segundo maior produtor estadual desta fonte)."
"6642","Financiamento","2025-09-01","Estado","Bahia","F3","B","Sem progresso","0","Através do item 14 da Solicitação MSOL.003.2025 foi requerida a seguinte informação: ""A mobilização destes recursos privados para financiamento climático (caso existam) são monitoradas de modo contínuo e regular (ao menos uma vez ao ano) pelo estado?"". Não foi apresentada nenhuma resposta acerca desta questão. Ademais, a Auditoria não verificou, nos sites dos órgãos ambientais ou outras fontes, qualquer ferramenta publicizando informações desta natureza (se as ações para a mobilização de recursos privados para financiamento climático são monitoradas de modo contínuo e regular; e Se existem sistemas, relatórios, websites ou outras ferramentas ou plataformas específicas (mecanismos) que apresentem dados sobre a mobilização de recursos privados de modo contínuo, com dados atualizados e disponíveis para pesquisa e auditoria - transparência ativa)."
"1349","Governança","2025-09-01","Estado","Bahia","G1","A","Estágio avançado","1","O Estado da Bahia possui um quadro legal e regulatório abrangente, conforme evidências em anexo, que inclui ações de mitigação e adaptação dos efeitos das mudanças climáticas."
